Rank,Priority Score,Title,Subscribers,Description (short),Playlister Internal ID,Spotify URL,Contact Type,Contact Detail,Status,Notes,Date Reviewed
1,0.46,Cozy Winter Acoustic,27169,"27,169 subscribers",1873185,,,,Not Reviewed,,
2,0.456,Cozy Indie &amp; Folk 2026,24945,"24,945 subscribers",1882280,,,,Not Reviewed,,
3,0.456,Indie Folk Christian,24733,"24,733 subscribers",1878959,,,,Not Reviewed,,
4,0.445,Indie Folk Cinema,19163,"19,163 subscribers",1873425,,,,Not Reviewed,,
5,0.438,songs for instagram stories,28042,"28,042 subscribers",1876062,,,,Not Reviewed,,
6,0.435,Psychedelic Indie Rock,26088,"26,088 subscribers",1884532,,,,Not Reviewed,,
7,0.435,Best of Mumford &amp; Sons,26015,"26,015 subscribers",1878322,,,,Not Reviewed,,
8,0.426,ELECTRONIC ROCK / INDIE,20870,"20,870 subscribers",1874338,,,,Not Reviewed,,
9,0.424,Mr Suicide Sheep 2026,20264,"20,264 subscribers",1879555,,,,Not Reviewed,,
10,0.424,indie music that made my teenage head explode,19988,"19,988 subscribers",1886439,,,,Not Reviewed,,
11,0.42,pumpkin spice lattes in the mountains,18165,"18,165 subscribers",1885605,,,,Not Reviewed,,
12,0.42,Coastline Folk,6811,"6,811 subscribers",1883974,,,,Not Reviewed,,
13,0.419,Indie Folk Roadtrip,10585,"10,585 subscribers",1879973,,,,Not Reviewed,,
14,0.417,that alt/indie rock genre you can’t explain to anyone,16992,"16,992 subscribers",1866021,,,,Not Reviewed,,
15,0.416,main character aesthetic,16727,"16,727 subscribers",1868681,,,,Not Reviewed,,
16,0.416,INDIE RAIDERS 💥💥,16492,"16,492 subscribers",1869395,,,,Not Reviewed,,
17,0.415,Backroads In The Key Of Indie,16407,"16,407 subscribers",1883572,,,,Not Reviewed,,
18,0.412,Indie Folk Essentials,5617,"5,617 subscribers",1873765,,,,Not Reviewed,,
19,0.411,alt rock 🎸 alternative // indie rock,14649,"14,649 subscribers",1873618,,,,Not Reviewed,,
20,0.41,New Indie Rock 2026,14606,"14,606 subscribers",1877286,,,,Not Reviewed,,
21,0.41,"Stress Free Mornings [Indie, Folk, Alt-R&amp;B]",8473,"8,473 subscribers",1882284,,,,Not Reviewed,,
22,0.409,Indie pop rap is ear nut 🥜,14035,"14,035 subscribers",1887424,,,,Not Reviewed,,
23,0.409,Indie Underground 2026,14026,"14,026 subscribers",1879068,,,,Not Reviewed,,
24,0.405,Indie Summer Sunshine,12895,"12,895 subscribers",1878067,,,,Not Reviewed,,
25,0.405,NAS,12826,"12,826 subscribers",1869263,,,,Not Reviewed,,
26,0.404,New Alternative Rock 2026,12533,"12,533 subscribers",1882810,,,,Not Reviewed,,
27,0.404,Tamil Latest Hits 2025,12487,"12,487 subscribers",1867746,,,,Not Reviewed,,
28,0.403,Melancholic Indie,7648,"7,648 subscribers",1864357,,,,Not Reviewed,,
29,0.402,S-Tier Indie: Rock/Pop,7562,"7,562 subscribers",1873617,,,,Not Reviewed,,
30,0.402,Indie Summer Roadtrip 🌞,7504,"7,504 subscribers",1868490,,,,Not Reviewed,,
31,0.402,NAS ELITE,7494,"7,494 subscribers",1889138,,,,Not Reviewed,,
32,0.401,INDIE VBZ,7295,"7,295 subscribers",1864359,,,,Not Reviewed,,
33,0.401,Indie Singer-Songwriter,4460,"4,460 subscribers",1887411,,,,Not Reviewed,,
34,0.399,ELECTRO INDEPENDENT VS MAINSTREAM,11043,"11,043 subscribers",1867752,,,,Not Reviewed,,
35,0.398,#I WANTMYNAS,6921,"6,921 subscribers",1878932,,,,Not Reviewed,,
36,0.398,indie drive,6787,"6,787 subscribers",1879556,,,,Not Reviewed,,
37,0.394,Psychadelic Trip 🌌,6325,"6,325 subscribers",1880845,,,,Not Reviewed,,
38,0.393,indie rock session,9734,"9,734 subscribers",1878052,,,,Not Reviewed,,
39,0.393,Indie Roadtrip,6183,"6,183 subscribers",1874771,,,,Not Reviewed,,
40,0.392,Distorted Indie Daze,9409,"9,409 subscribers",1888191,,,,Not Reviewed,,
41,0.392,Indie Hits,6042,"6,042 subscribers",1873619,,,,Not Reviewed,,
42,0.391,sexy music for indie folks,3598,"3,598 subscribers",1884163,,,,Not Reviewed,,
43,0.388,Gbloomers Chillers May (indie/jazz/funk/psych),8733,"8,733 subscribers",1885386,,,,Not Reviewed,,
44,0.387,Indie: NAS ELITE,5351,"5,351 subscribers",1879963,,,,Not Reviewed,,
45,0.386,simply the BEST indie pop to exist,8239,"8,239 subscribers",1870714,,,,Not Reviewed,,
46,0.386,chill roadtrip,8159,"8,159 subscribers",1879557,,,,Not Reviewed,,
47,0.385,Indie Bangers,5187,"5,187 subscribers",1875551,,,,Not Reviewed,,
48,0.384,Indie: Can't Get Out My Head,5028,"5,028 subscribers",1866527,,,,Not Reviewed,,
49,0.382,alt-indie/rock that slaps ⚡️,4829,"4,829 subscribers",1877374,,,,Not Reviewed,,
50,0.381,"Cooking, Drinking, &amp; Dinner with Friends | Soul • Classic Rock • Indie • Acoustic",2850,"2,850 subscribers",1867749,,,,Not Reviewed,,
51,0.38,NAS 101,4549,"4,549 subscribers",1888710,,,,Not Reviewed,,
52,0.379,Depression at 3 am,74228,"74,228 subscribers",1867788,,,,Not Reviewed,,
53,0.379,Indie: NEW ARTIST SPOTLIGHT,4496,"4,496 subscribers",1877534,,,,Not Reviewed,,
54,0.378,Quiet Indie Folk,2675,"2,675 subscribers",1868679,,,,Not Reviewed,,
55,0.377,Middle Eastern Indie 2026 - Indie Vibes - Middle East - Arab Indie - Ethnic Pop -Rock - No Words,4291,"4,291 subscribers",1874582,,,,Not Reviewed,,
56,0.376,Indie: NAS ALL-STARS,4205,"4,205 subscribers",1877532,,,,Not Reviewed,,
57,0.374,Psychedelic Indie,4060,"4,060 subscribers",1884762,,,,Not Reviewed,,
58,0.374,Indie: NAS PRO,3995,"3,995 subscribers",1877530,,,,Not Reviewed,,
59,0.373,Indie: NAS 101,3893,"3,893 subscribers",1871801,,,,Not Reviewed,,
60,0.372,Indie Rock That HITS 🤌,3846,"3,846 subscribers",1888715,,,,Not Reviewed,,
